v,p_r,p_r_true,Meanp_r,LowerCI,UpperCI,,,
0,0.002,0.002,0.00200843,0.0019956,0.00202188,,,
1,0.002,0.002,0.0021811,0.00205091,2.32E-03,,,
2,0.002,0.002,1.91E-03,0.00157983,2.35E-03,,,
0,0.004,0.004,0.0040002,0.00398346,0.00401702,,,
1,0.004,0.004,0.00387828,0.00374121,0.00402559,,,
2,0.004,0.004,0.00359,0.00312,0.00414,,,
0,0.006,0.006,0.00604155,0.00601889,0.00606563,,,
1,0.006,0.006,0.00613755,0.00594638,0.0063368,,,
2,0.006,0.006,0.00511,0.00457,0.00575,,,
0,0.008,0.008,0.00811834,0.00806272,0.00817641,,,
1,0.008,0.008,0.00860252,0.00832964,0.0088833,,,
2,0.008,0.008,0.00797264,0.00705926,0.0091164,,,
0,0.01,0.01,0.01001708,0.00998943,0.0100454,,,
1,0.01,0.01,0.01090033,0.0105887,0.01122781,,,
2,0.01,0.01,0.01092907,0.0096613,0.01243301,,,
0,0.015,0.015,0.01501359,0.0149765,0.0150565,,,
1,0.015,0.015,0.01505722,0.01474638,0.01538981,,,
2,0.015,0.015,0.01666071,0.01495818,0.0186507,,,
0,0.0185,0.0185,0.01855263,0.018509,0.0186036,,,
1,0.0185,0.0185,0.01829575,0.0179442,0.01866152,,,
2,0.0185,0.0185,0.01781026,0.0164049,0.01941253,,,
0,0.02,0.02,0.02016447,0.0200839,0.0202612,,,
1,0.02,0.02,0.01989111,0.01952529,0.02026872,,,
2,0.02,0.02,0.01885452,0.01739779,0.02047678,,,
