v,p_r,R0_true,MeanR0,LowerCI,UpperCI
0,0.002,2,1.99398124,1.98849,1.9995605
1,0.002,2,1.99090463,1.9773895,2.00394
2,0.002,2,2.004047,1.98372,2.024221
0,0.004,2,2.00438305,2.00057,2.00819
1,0.004,2,1.99520299,1.98536,2.00506
2,0.004,2,1.99344,1.97909,2.00761
0,0.006,2,1.99887774,1.99547,2.00235
1,0.006,2,2.00295825,1.9951395,2.0107005
2,0.006,2,1.99085,1.97918,2.00318
0,0.008,2,2.0062237,2.00161,2.0109
1,0.008,2,2.00106294,1.9939195,2.0079705
2,0.008,2,1.98784198,1.9775595,1.99856
0,0.01,2,1.99477706,1.99231,1.99719
1,0.01,2,2.01094353,2.0046995,2.01723
2,0.01,2,1.9904782,1.98105,1.99976
0,0.015,2,1.99798575,1.99581,2.00039
1,0.015,2,1.99555747,1.99059,2.00075
2,0.015,2,1.99920625,1.99132,2.007141
0,0.0185,2,1.9999645,1.9979,2.00242
1,0.0185,2,2.0000048,1.9953,2.0048
2,0.0185,2,1.99261721,"1.98545000, ",1.99992
0,0.02,2,1.99930456,1.99651,2.00246
1,0.02,2,1.99701599,1.99251,2.00148
2,0.02,2,1.99228084,1.98527,1.9991805
