v,p_r,R0_true,MeanR0,LowerCI,UpperCI
0,0.002,2,2.0238,2.0012,2.0467
1,0.002,2,1.9423,1.8949,1.9898
2,0.002,2,1.8465,1.8004,1.9124
3,0.002,2,1.8942,1.8232,1.9615
0,0.004,2,2.0169,1.9964,2.0382
1,0.004,2,1.9629,1.9269,2
2,0.004,2,1.9321,1.8879,1.9766
3,0.004,2,1.8854,1.8271,1.9385
0,0.006,2,2.0234,2.0058,2.0416
1,0.006,2,1.96,1.9277,1.994
2,0.006,2,1.9352,1.8931,1.9764
3,0.006,2,1.9241,1.8774,0.0022
0,0.008,2,,,
1,0.008,2,,,
2,0.008,2,,,
3,0.008,2,,,
0,0.01,2,,,
1,0.01,2,,,
2,0.01,2,,,
3,0.01,2,,,
0,0.015,2,2.0182,2.0026,2.03425
1,0.015,2,1.9999,1.9722,2.0281
2,0.015,2,1.9632,1.9324,1.9949
3,0.015,2,1.9463,1.9103,1.9821
0,0.0185,2,,,
1,0.0185,2,,,
2,0.0185,2,,,
3,0.0185,3,,,
0,0.02,2,,,
1,0.02,2,,,
2,0.02,2,,,
3,0.02,2,,,
