v,p_r,v_true,MeanV,LowerCI,UpperCI
0,0.002,0,0.0307,0.0007,0.1025
1,0.002,1,0.4761,0.1682,0.7375
2,0.002,2,0.4035,0.0173,0.8693
3,0.002,3,0.8616,0.3857,1.327
0,0.004,0,0.0295,0.0008,0.1019
1,0.004,1,0.5685,0.3793,0.7592
2,0.004,2,0.9669,0.6944,1.2571
3,0.004,3,0.9355,0.5175,1.3186
0,0.006,0,0.0235,0.00072,0.0804
1,0.006,1,0.543,0.3659,0.7185
2,0.006,2,1.0319,0.7731,1.3207
3,0.006,3,1.0748,0.7667,1.4115
0,0.008,0,,,
1,0.008,1,,,
2,0.008,2,,,
3,0.008,3,,,
0,0.01,0,,,
1,0.01,1,,,
2,0.01,2,,,
3,0.01,3,,,
0,0.015,0,0.02516,0.00071,0.0878
1,0.015,1,0.8659,0.7271,1.0079
2,0.015,2,1.2453,1.0227,1.5018
3,0.015,3,1.3745,1.0837,1.7302
0,0.0185,0,,,
1,0.0185,1,,,
2,0.0185,2,,,
3,0.0185,3,,,
0,0.02,0,,,
1,0.02,1,,,
2,0.02,2,,,
3,0.02,3,,,
